"No.","Name","Pos.","Cl.","Ht.","Hometown","High School","Previous School"
"2","Mali Ennis","G","Sr.","5-10","Burlingame, Calif.","","Saint Mary's College"
"3","Hannah Burg","G","Sr.","5-6","Colorado Springs, Colo.","","Augustana (SD)"
"5","Stella Szabo","G","R-So.","5-11","Stockholm, Sweden","Luleaa Gymnasieskola",""
"7","Liv Yergensen","G","Fr.","5-11","El Dorado Hills, Calif.","Oak Ridge HS",""
"8","Sophia Mindermann","G","Fr.","5-10","Folsom, Calif.","Folsom HS",""
"9","Marina Radocaj","G/F","Jr.","6-3","Richmond, Canada","R.A. McMath Secondary School","Arizona State"
"10","Sydney Ward","G","Sr.","6-0","Houston, Texas","The Village",""
"11","Luisa Anderegg","F","Sr.","6-2","Cologne, Germany","","Midland College"
"15","Nyah Lowery","G","Jr.","5-11","Sacramento, Calif.","Saint Mary's",""
"21","Daria Nestorov","G","So.","5-4","Zrenjanin, Serbia","Gymnasium Kraljevo",""
"23","Kenlee Durrill","G","R-So.","5-10","Denver, Colo.","Flat Irons",""
"24","LaMiracle Lebon","F","Fr.","6-3","Columbus, Miss.","Vanden HS",""
"25","Winner Bartholomew","F","Jr.","6-1","Abuja, Nigeria","","Rider"
"32","Tyla Fautua","F","So.","6-0","Brisbane, Australia","Southern Districts Spartans",""
