"#","FULL NAME","Pos.","Ht.","Academic Year","Hometown / High School","Major","Previous School"
"0","Ysabella Von Seipler","Guard","5-10","Fr.","Rocklin, CA / Del Oro","",""
"1","Dresha Moore","Forward","6-0","So.","Hawthorne, CA / Leuzinger","",""
"2","Ryanne Bahnsen-Price","Forward","6-0","Fr.","Erie, CO / Roosevelt ","",""
"3","Lilly Amor","Guard","5-11","So.","Melbourne, Victoria, Australia / Templestowe College","",""
"4","Jessica Ajayi","Guard","5-10","Fr.","Kent, WA / Kentwood","",""
"5","Lauren McCall","Guard","5-6","Jr.","Boise, ID / Timberline","Business Administration ",""
"6","Kylie Ray","Guard","5-8","So.","La Crescenta, CA / Crescenta Valley ","","Utah"
"10","Helen Holley","Forward","6-1","So.","Cleveland, OH / Gilmour Academy","","Michigan State"
"11","Malia Tharpe","Forward","6-0","Jr.","Cottesloe, Western Australia, Australia / Shenton College","Undeclared",""
"12","Erica Carr","Post","6-3","So.","Grand Prairie, TX / South Grand Prairie","",""
"15","Eva Ruse","Forward","6-2","So.","North Vancouver, British Columbia, Canada / Mulgrave School","",""
"19","Jayden Rhodes","Guard","5-11","Sr.","Keller, TX / L.D. Bell","","Morehead State"
"20","Hallie Rhodes","Guard","5-11","Sr.","Keller, TX / L.D. Bell","","Morehead State"
"22","Ayla Williams","Post","6-0","Fr.","Las Vegas, NV / Centennial","",""
"24","Olivia Owens","Guard","5-10","Fr.","Columbus, OH / Phoenix Country Day","",""
