#,"FULL NAME","HOMETOWN","HIGH SCHOOL","PREVIOUS SCHOOL","HT.","POS.","ACADEMIC YEAR","ImageURL"
2,"Aniya Hooker","Lynnwood, Wash.","Lynwood HS","","5-8","G","So.","https://santaclarabroncos.com/images/2025/9/18/hooker_aniyaDJR13246.JPG?width=80&quality=90"
3,"Kate Schat","Redwood Valley, Calif.","Cardinal Newman HS","","5-9","G","Fr.","https://santaclarabroncos.com/images/2025/9/18/schat_katieDJR13224.JPG?width=80&quality=90"
4,"Maddy Warberg","Eugene, Ore.","South Medford HS","","5-11","G","Fr.","https://santaclarabroncos.com/images/2025/9/18/warberg_maddyDJR13195.JPG?width=80&quality=90"
5,"Sara Schmerbach","South Medford, Ore.","South Medford HS","","5-11","G","Fr.","https://santaclarabroncos.com/images/2025/9/18/schimerbach_saraDJR13228.JPG?width=80&quality=90"
6,"Sienna Grieger","West Adelaide, Australia","St. Michael's College","","5-9","G","Fr.","https://santaclarabroncos.com/images/2025/9/18/grieger_siennaDJR13186.JPG?width=80&quality=90"
9,"Maia Jones","Tasman, New Zealand","Waimea College","","5-10","G","R-Jr.","https://santaclarabroncos.com/images/2025/9/18/jones_maiaDJR13254.JPG?width=80&quality=90"
10,"Lauren Grover","Corona, Calif.","Santiago HS","","6-1","F","Sr.","https://santaclarabroncos.com/images/2025/9/18/grover_laurenDJR13261.JPG?width=80&quality=90"
11,"Alana Goodchild","Sydney, Australia","Australian Institute of Sport","","6-2","F","Sr.","https://santaclarabroncos.com/images/2025/9/18/goodchild_alannaDJR13217.JPG?width=80&quality=90"
12,"Sophie Glancey","Boise, Idaho","Timberline HS","","6-2","F","Gr.","https://santaclarabroncos.com/images/2025/9/18/glancey_sophieDJR13209_dcKrR.JPG?width=80&quality=90"
13,"Ava Schmidt","Sammamish, Wash.","East Lake HS","","6-2","F","Jr.","https://santaclarabroncos.com/images/2025/9/18/schmidt_avaDJR13235.JPG?width=80&quality=90"
20,"Delainey Miller","Aurora, Colo.","Cherokee Trail HS","","5-10","G","Fr.","https://santaclarabroncos.com/images/2025/9/18/miller_delaneyDJR13189.JPG?width=80&quality=90"
23,"Ashley Hawkins","Long Beach, Calif.","Wilson HS","","5-6","G","Gr.","https://santaclarabroncos.com/images/2025/9/18/hawkins_ashleyDJR13268.JPG?width=80&quality=90"
24,"Reilly Clark","Tucson, Ariz.","Catalina Foothills","","5-10","G","R-So.","https://santaclarabroncos.com/images/2025/9/18/clark_reillyDJR13192.JPG?width=80&quality=90"
30,"Kylee Fox","Richland, Wash.","Richland HS","","5-11","F","Jr.","https://santaclarabroncos.com/images/2025/9/18/fox_kyleeDJR13231_lFMvf.JPG?width=80&quality=90"
34,"Tyler Gildersleeve-Stiles","Snohomish, Wash.","Snohomish HS","","6-1","F","Fr.","https://images.sidearmdev.com/resize?url=https%3a%2f%2fdbukjj6eu5tsf.cloudfront.net%2fsidearm.sites%2fsantaclara.sidearmsports.com%2fimages%2f2025%2f9%2f18%2fgildersleevestiles_tylerDJR13266_mSdFb.JPG&width=80&type=webp&quality=90"
