"#","Name","Pos.","Ht.","Yr.","Hometown/Previous School","Hometown / High School"
"2","Mara Neira","G","5-9","Gr.","Baiona, Spain / Presbyterian/Appalachian State","Baiona, Spain / "
"3","Noelia Mouriño","F","6-2","Fr.","O Porrino, Spain / Segle XXI Barcelona","O Porrino, Spain / "
"4","Meghan McIntyre","G","5-6","Gr.","Garden Grove, Calif. / Southern Oregon/Orange Coast CC/Golden West CC","Garden Grove, Calif. / "
"7","Nevaeh Ferrara Horne","F","6-2","Jr.","Regina, Saskatchewan, Canada / North Dakota","Regina, Saskatchewan, Canada / "
"9","Aina Cargol","G","5-9","Fr.","La vall de Bianya, Spain / Spar Girona","La vall de Bianya, Spain / "
"10","Amy Pateman","G","5-8","Fr.","Auckland, New Zealand / ","Auckland, New Zealand / Westlake Girls High School"
"12","Nataša Taušová","F","6-3","Fr.","Poprad, Slovakia / Piestanske Cajky","Poprad, Slovakia / "
"14","Michelle Ugwah","F","6-1","R-So.","Cork, Ireland / Morehead State","Cork, Ireland / "
"21","Olivia Williams","G","6-1","R-Sr.","South San Francisco, Calif. / UC Irvine","South San Francisco, Calif. / "
"22","Paula Tirado","G","5-7","R-So.","Mataro, Spain / IES Damià Campeny","Mataro, Spain / "
"23","Candy Edokpaigbe","G","6-0","So.","Naples, Italy / Seattle U","Naples, Italy / "
"24","Sol Castro","F","6-1","Gr.","Rio Colorado, Argentina / Robert Morris","Rio Colorado, Argentina / "
"32","Sophia Priestley","F","6-2","Fr.","Oslo, Norway / Ullern IF Oslo","Oslo, Norway / "
