"#","FULL NAME","Pos.","Ht.","Previous School","Hometown / High School","Academic Year","Twitter","Instagram"
"1","Malvina Haziri","G","5-9","","Vushtrria, Kosovo / KBF Prishtina","Fr."," "," "
"2","Eleonora Villa","G","5-8","Costa Masnaga","Lissone, Italy / ","Jr."," "," "
"5","Jean Chiu","G","5-7","University of Taipei","Taipei, Taiwan / New Taipei Municipal Tamsui Vocational HS","Sr."," "," "
"6","Tahara Magassa","F","6-4","","Paris, France / Saint-Amand Hainut","Fr."," "," "
"8","Mackenzie Chatfield","G","5-9","Western Kentucky","Auckland, New Zealand / Westlake Girls High School","Jr."," "," "
"9","Tanja Valancic","F","6-0","","Ljubljana, Slovenia / Akson Ilirija","Fr."," "," "
"10","Charlotte Abraham","G","6-0","","Cambrai, France / Lycée Marguerite de Flandre","So."," "," "
"12","Marta Alsina","G","5-11","","Barcelona, Spain / Institut Joaquim Blume","So."," "," "
"15","Keandra Koorits","G/F","6-2","","Tallinn, Estonia / Audentes Sports Gymnasium","So."," "," "
"25","Lauren Glazier","F","6-4","","North Bend, Wash. / Mount Si HS","Sr."," "," "
"33","Alex Covill","C","6-6","","Missoula, Mont. / Missoula Hellgate HS","Jr."," "," "
"55","Malia Ruud","F","6-2","","Pasco, Wash. / Chiawana HS","Fr."," "," "
